Category	Use For	Protein	Accession	Entry name	Protein names	Type	Notes	assignment
2	All EVs	VSPS4B	O75351	VPS4B_HUMAN	Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Cell migration-inducing gene 1 protein) (Suppressor of K(+) transport growth defect 1) (Protein SKD1)	with lipid or membrane protein-binding ability		unknown
5	Functional component of EVs: need to determine the mode of association with EVs	ENTPD6 CD39L2 IL6ST2	O75354	ENTP6_HUMAN	Ectonucleoside triphosphate diphosphohydrolase 6 (NTPDase 6) (EC 3.6.1.6) (CD39 antigen-like 2)	Cytokines and growth factors		unknown
3	All EVs as purity control	MRPL33 C2orf1	O75394	RM33_HUMAN	"39S ribosomal protein L33, mitochondrial (L33mt) (MRP-L33) (Mitochondrial large ribosomal subunit protein bL33m)"	protein and protein/nucleic acid aggregates		unknown
1	All EVs	H2AP CXorf27 HYPM	O75409	HYPM_HUMAN	Huntingtin-interacting protein M (Histone H2A.P) (Huntingtin yeast partner M)	cell/tissue specific	MHC class II	
1	All EVs	ITGA10 UNQ468/PRO827	O75578	ITA10_HUMAN	Integrin alpha-10	non-tissue specific	Integrins	
2	All EVs	FLOT1	O75955	FLOT1_HUMAN	Flotillin-1	with lipid or membrane protein-binding ability		unknown
3	All EVs as purity control	RSL1D1 CATX11 CSIG PBK1 L12	O76021	RL1D1_HUMAN	Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)	protein and protein/nucleic acid aggregates		NUCLEUS
2	All EVs	ANXA9 ANX31	O76027	ANXA9_HUMAN	Annexin A9 (Annexin XXXI) (Annexin-31) (Annexin-9) (Pemphaxin)	with lipid or membrane protein-binding ability	Annexins	
5	Functional component of EVs: need to determine the mode of association with EVs	IL18RAP IL1R7	O95256	I18RA_HUMAN	Interleukin-18 receptor accessory protein (IL-18 receptor accessory protein) (IL-18RAcP) (EC 3.2.2.6) (Accessory protein-like) (AcPL) (CD218 antigen-like family member B) (CDw218b) (IL-1R accessory protein-like) (IL-1RAcPL) (Interleukin-1 receptor 7) (IL-1R-7) (IL-1R7) (Interleukin-18 receptor accessory protein-like) (Interleukin-18 receptor beta) (IL-18R-beta) (IL-18Rbeta) (CD antigen CD218b)	Cytokines and growth factors		
3	All EVs as purity control	NSA2 TINP1 HUSSY-29	O95478	NSA2_HUMAN	Ribosome biogenesis protein NSA2 homolog (Hairy cell leukemia protein 1) (TGF-beta-inducible nuclear protein 1)	protein and protein/nucleic acid aggregates		NUCLEUS
5	Functional component of EVs: need to determine the mode of association with EVs	IL33 C9orf26 IL1F11 NFHEV	O95760	IL33_HUMAN	Interleukin-33 (IL-33) (Interleukin-1 family member 11) (IL-1F11) (Nuclear factor from high endothelial venules) (NF-HEV) [Cleaved into: Interleukin-33 (95-270); Interleukin-33 (99-270); Interleukin-33 (109-270)]	Cytokines and growth factors		
1	All EVs	GNA14	O95837	GNA14_HUMAN	Guanine nucleotide-binding protein subunit alpha-14 (G alpha-14) (G-protein subunit alpha-14)	non-tissue specific		
5	Functional component of EVs: need to determine the mode of association with EVs	IL18BP	O95998	I18BP_HUMAN	Interleukin-18-binding protein (IL-18BP) (Tadekinig-alfa)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	PDGFB PDGF2 SIS	P01127	PDGFB_HUMAN	Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	EGF	P01133	EGF_HUMAN	Pro-epidermal growth factor (EGF) [Cleaved into: Epidermal growth factor (Urogastrone)]	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	TGFB1	P01137	TGFB1_HUMAN	Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)]	Cytokines and growth factors		ER
5	Functional component of EVs: need to determine the mode of association with EVs	IFNG	P01579	IFNG_HUMAN	Interferon gamma (IFN-gamma) (Immune interferon)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	IL1A IL1F1	P01583	IL1A_HUMAN	Interleukin-1 alpha (IL-1 alpha) (Hematopoietin-1)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	IL1B IL1F2	P01584	IL1B_HUMAN	Interleukin-1 beta (IL-1 beta) (Catabolin)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	IL2RA	P01589	IL2RA_HUMAN	Interleukin-2 receptor subunit alpha (IL-2 receptor subunit alpha) (IL-2-RA) (IL-2R subunit alpha) (IL2-RA) (TAC antigen) (p55) (CD antigen CD25)	Cytokines and growth factors		
1	All EVs	HLA-B	P01889	HLAB_HUMAN	"HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)"	non-tissue specific	MHC class I	
1	All EVs	HLA-DRA HLA-DRA1	P01903	DRA_HUMAN	"HLA class II histocompatibility antigen, DR alpha chain (MHC class II antigen DRA)"	cell/tissue specific	MHC class II	
1	All EVs	HLA-DQA2 HLA-DXA	P01906	DQA2_HUMAN	"HLA class II histocompatibility antigen, DQ alpha 2 chain (DX alpha chain) (HLA class II histocompatibility antigen, DQ(6) alpha chain) (HLA-DQA1) (MHC class II DQA2)"	cell/tissue specific	MHC class II	
1	All EVs	HLA-DQA1	P01909	DQA1_HUMAN	"HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1)"	cell/tissue specific	MHC class II	
1	All EVs	HLA-DRB1	P01911	DRB_HUMAN	"HLA class II histocompatibility antigen, DRB1 beta chain (Human leukocyte antigen DRB1) (HLA-DRB1)"	cell/tissue specific	MHC class II	
1	All EVs	HLA-DQB1 HLA-DQB	P01920	DQB1_HUMAN	"HLA class II histocompatibility antigen, DQ beta 1 chain (MHC class II antigen DQB1)"	cell/tissue specific	MHC class II	unknown
5	Functional component of EVs: need to determine the mode of association with EVs	COL1A1	P02452	CO1A1_HUMAN	Collagen alpha-1(I) chain (Alpha-1 type I collagen)			unknown
5	Functional component of EVs: need to determine the mode of association with EVs	COL2A1	P02458	CO2A1_HUMAN	Collagen alpha-1(II) chain (Alpha-1 type II collagen) [Cleaved into: Collagen alpha-1(II) chain; Chondrocalcin]			
5	Functional component of EVs: need to determine the mode of association with EVs	COL3A1	P02461	CO3A1_HUMAN	Collagen alpha-1(III) chain			
5	Functional component of EVs: need to determine the mode of association with EVs	COL4A1	P02462	CO4A1_HUMAN	Collagen alpha-1(IV) chain [Cleaved into: Arresten]			unknown
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	LMNA	P02545	LMNA_HUMAN	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	nucleus	Lamin A/C	unknown
3	All EVs as purity control	APOA1	P02647	APOA1_HUMAN	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))]	lipoproteins	"produced by liver, abundant in plasma, serum"	
3	All EVs as purity control	APOA2	P02652	APOA2_HUMAN	Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II); Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76))]	lipoproteins	"produced by liver, abundant in plasma, serum"	
3	All EVs as purity control	APOA2	P02652	APOA2_HUMAN	Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II); Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76))]	lipoproteins	"produced by liver, abundant in plasma, serum"	
1	All EVs	GYPA	P02724	GLPA_HUMAN	Glycophorin-A (MN sialoglycoprotein) (PAS-2) (Sialoglycoprotein alpha) (CD antigen CD235a)	cell/tissue specific	Glycophorin A (RBC)	
5	Functional component of EVs: need to determine the mode of association with EVs	FN!	P02751	FINC_HUMAN	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]	adhesion and extracellular matrix proteins		unknown
5	Functional component of EVs: need to determine the mode of association with EVs	AHSG	P02765	FETUA_HUMAN	Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B]	adhesion and extracellular matrix proteins		unknown
3	All EVs as purity control	ALB	P02768	ALBU_HUMAN	Albumin	lipoproteins	"produced by liver, abundant in plasma, serum"	
2	All EVs	ANXA1 ANX1 LPC1	P04083	ANXA1_HUMAN	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)	with lipid or membrane protein-binding ability	Annexins	unknown
5	Functional component of EVs: need to determine the mode of association with EVs	PDGFA PDGF1	P04085	PDGFA_HUMAN	Platelet-derived growth factor subunit A (PDGF subunit A) (PDGF-1) (Platelet-derived growth factor A chain) (Platelet-derived growth factor alpha polypeptide)	Cytokines and growth factors		
3	All EVs as purity control	APOB	P04114	APOB_HUMAN	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]	lipoproteins	"produced by liver, abundant in plasma, serum"	
1	All EVs	CD90	P04216	THY1_HUMAN	Thy-1 membrane glycoprotein OS=Homo sapiens OX=9606 GN=THY1 PE=1 SV=2	cell/tissue specific	immune cells	PM
1	All EVs	CD3D	P04234	CD3D_HUMAN	T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain) (CD antigen CD3d)	cell/tissue specific	T cells	
2	All EVs	GAPDH	P04406	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	promiscuous incorporation in EVs (and possibly exomeres)	enzyme	unknown
1	All EVs	HLA-A	P04439	HLAA_HUMAN	"HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)"	non-tissue specific	MHC class I	
1	All EVs	HLA-DPB1 HLA-DP1B	P04440	DPB1_HUMAN	"HLA class II histocompatibility antigen, DP beta 1 chain (HLA class II histocompatibility antigen, DP(W4) beta chain) (MHC class II antigen DPB1)"	cell/tissue specific	MHC class II	
1	All EVs	ERBB2	P04626	ERBB2_HUMAN	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	cell/tissue specific	breast cancer	PM
1	All EVs	GNAI2 GNAI2B	P04899	GNAI2_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein)	non-tissue specific		PM
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	H2AC4 H2AFM HIST1H2AB; H2AC8 H2AFA HIST1H2AE	P04908	H2A1B_HUMAN	Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m)	nucleus	Histones	
1	All EVs	"A4, APP"	P05067	A4_HUMAN	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	cell/tissue specific	neurons	unknown
1	All EVs	ITGB3 GP3A	P05106	ITB3_HUMAN	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	non-tissue specific	Integrins	PM
1	All EVs	ITGB2 CD18 MFI7	P05107	ITB2_HUMAN	"Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)"	non-tissue specific	Integrins	
5	Functional component of EVs: need to determine the mode of association with EVs	IL4	P05112	IL4_HUMAN	Interleukin-4 (IL-4) (B-cell stimulatory factor 1) (BSF-1) (Binetrakin) (Lymphocyte stimulatory factor 1) (Pitrakinra)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	IL5	P05113	IL5_HUMAN	Interleukin-5 (IL-5) (B-cell differentiation factor I) (Eosinophil differentiation factor) (T-cell replacing factor) (TRF)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	FGF1	P05230	FGF1_HUMAN	Fibroblast growth factor 1 (FGF-1) (Acidic fibroblast growth factor) (aFGF) (Endothelial cell growth factor) (ECGF) (Heparin-binding growth factor 1) (HBGF-1)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	IL6 IFNB2	P05231	IL6_HUMAN	Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2)	Cytokines and growth factors		
3	All EVs as purity control	RPLP1 RRP1	P05386	RLA1_HUMAN	60S acidic ribosomal protein P1 (Large ribosomal subunit protein P1)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
3	All EVs as purity control	RPLP2 D11S2243E RPP2	P05387	RLA2_HUMAN	60S acidic ribosomal protein P2 (Large ribosomal subunit protein P2) (Renal carcinoma antigen NY-REN-44)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
3	All EVs as purity control	RPLP0	P05388	RLA0_HUMAN	60S acidic ribosomal protein P0 (60S ribosomal protein L10E) (Large ribosomal subunit protein uL10)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
1	All EVs	HLA-DQB2 HLA-DXB	P05538	DQB2_HUMAN	"HLA class II histocompatibility antigen, DQ beta 2 chain (HLA class II histocompatibility antigen, DX beta chain) (MHC class II antigen DQB2)"	cell/tissue specific	MHC class II	PM
1	All EVs	ITGB1 FNRB MDF2 MSK12	P05556	ITB1_HUMAN	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	non-tissue specific	Integrins	
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	KRT18	P05783	K1C18_HUMAN	"Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)"	others		
5	Functional component of EVs: need to determine the mode of association with EVs	COL5A2	P05997	CO5A2_HUMAN	Collagen alpha-2(V) chain			unknown
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	H2BC11 H2BFR HIST1H2BJ	P06899	H2B1J_HUMAN	Histone H2B type 1-J (Histone H2B.1) (Histone H2B.r) (H2B/r)	nucleus	Histones	
2	All EVs	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	P07355	ANXA2_HUMAN	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	with lipid or membrane protein-binding ability	Annexins	unknown
1	All EVs	CD42a	P07359	GP1BA_HUMAN	Platelet glycoprotein Ib alpha chain OS=Homo sapiens OX=9606 GN=GP1BA PE=1 SV=2	cell/tissue specific	platelets	
1	All EVs	CD3E	P07766	CD3E_HUMAN	T-cell surface glycoprotein CD3 epsilon chain (T-cell surface antigen T3/Leu-4 epsilon chain) (CD antigen CD3e)	cell/tissue specific	T cells	
3	All EVs as purity control	UMOD	P07911	UROM_HUMAN	"Uromodulin (Tamm-Horsfall urinary glycoprotein) (THP) [Cleaved into: Uromodulin, secreted form]"	protein and protein/nucleic acid aggregates	urine	
5	Functional component of EVs: need to determine the mode of association with EVs	COL1A2	P08123	CO1A2_HUMAN	Collagen alpha-2(I) chain (Alpha-2 type I collagen)			Abundant in exomeres
2	All EVs	ANXA6 ANX6	P08133	ANXA6_HUMAN	Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)	with lipid or membrane protein-binding ability	Annexins	unknown
1	All EVs	CD55	P08174	DAF_HUMAN	Complement decay-accelerating factor (CD antigen CD55)	non-tissue specific	complement-binding proteins	PM
2	All EVs	HSP90AB1	P08238	HS90B_HUMAN	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)	with lipid or membrane protein-binding ability	Heat shock proteins	CYTOSOL
1	All EVs	CD41	P08514	ITA2B_HUMAN	Integrin alpha-IIb OS=Homo sapiens OX=9606 GN=ITGA2B PE=1 SV=3	cell/tissue specific	platelets	
1	All EVs	CD14	P08571	CD14_HUMAN	"Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]"	cell/tissue specific	monocytes	
5	Functional component of EVs: need to determine the mode of association with EVs	COL4A2	P08572	CO4A2_HUMAN	Collagen alpha-2(IV) chain [Cleaved into: Canstatin]			unknown
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	CYC1	P08574	CY1_HUMAN	"Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)"	mitochondrial		MITOCHONDRIA
1	All EVs	"CD45,PTPRC"	P08575	PTPRC_HUMAN	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45)	cell/tissue specific	immune cells	
1	All EVs	ITGA5 FNRA	P08648	ITA5_HUMAN	Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain]	non-tissue specific	Integrins	PM
5	Functional component of EVs: need to determine the mode of association with EVs	IL3	P08700	IL3_HUMAN	Interleukin-3 (IL-3) (Hematopoietic growth factor) (Mast cell growth factor) (MCGF) (Multipotential colony-stimulating factor) (P-cell-stimulating factor)	Cytokines and growth factors		
3	All EVs as purity control	RPS17 RPS17L	P08708	RS17_HUMAN	40S ribosomal protein S17 (Small ribosomal subunit protein eS17)	protein and protein/nucleic acid aggregates		
1	All EVs	GNAI3	P08754	GNAI3_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha (G(i) alpha-3)	non-tissue specific		PM
2	All EVs	ANXA5 ANX5 ENX2 PP4	P08758	ANXA5_HUMAN	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)	with lipid or membrane protein-binding ability	Annexins	unknown
3	All EVs as purity control	RPSA LAMBR LAMR1	P08865	RSSA_HUMAN	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	protein and protein/nucleic acid aggregates		RIBOSOME 40S
5	Functional component of EVs: need to determine the mode of association with EVs	IL6R	P08887	IL6RA_HUMAN	Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126)	Cytokines and growth factors		
1	All EVs	CD63	P08962	CD63_HUMAN	CD63 antigen (Granulophysin) (Lysosomal-associated membrane protein 3) (LAMP-3) (Melanoma-associated antigen ME491) (OMA81H) (Ocular melanoma-associated antigen) (Tetraspanin-30) (Tspan-30) (CD antigen CD63)	non-tissue specific	Tetraspanins	unknown
3	All EVs as purity control	MRPL3 MRL3 RPML3	P09001	RM03_HUMAN	"39S ribosomal protein L3, mitochondrial (L3mt) (MRP-L3) (Mitochondrial large ribosomal subunit protein uL3m)"	protein and protein/nucleic acid aggregates		MITOCHONDRIA
5	Functional component of EVs: need to determine the mode of association with EVs	FGF2	P09038	FGF2_HUMAN	Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2)	Cytokines and growth factors		unknown
2	All EVs	ANXA4 ANX4	P09525	ANXA4_HUMAN	Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (PAP-II) (Protein II)	with lipid or membrane protein-binding ability	Annexins	unknown
1	All EVs	CD3G	P09693	CD3G_HUMAN	T-cell surface glycoprotein CD3 gamma chain (T-cell receptor T3 gamma chain) (CD antigen CD3g)	cell/tissue specific	T cells	
1	All EVs	H2AZ1 H2AFZ H2AZ	P0C0S5	H2AZ_HUMAN	Histone H2A.Z (H2A/z)	cell/tissue specific	MHC class II	NUCLEUS-CHROMATIN
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	H2AC11 H2AFP HIST1H2AG; H2AC13 H2AFC HIST1H2AI; H2AC15 H2AFD HIST1H2AK; H2AC16 H2AFI HIST1H2AL; H2AC17 H2AFN HIST1H2AM	P0C0S8	H2A1_HUMAN	Histone H2A type 1 (H2A.1) (Histone H2A/ptl)	nucleus	Histones	
1	All EVs	H2AB1 H2AFB1	P0C5Y9	H2AB1_HUMAN	Histone H2A-Bbd type 1 (H2A Barr body-deficient) (H2A.B) (H2A.Bbd)	cell/tissue specific	MHC class II	
1	All EVs	H2AB2 H2AFB2; H2AB3 H2ABBD H2AFB H2AFB3	P0C5Z0	H2AB2_HUMAN	Histone H2A-Bbd type 2/3 (H2A Barr body-deficient) (H2A.Bbd)	cell/tissue specific	MHC class II	
2	All EVs	HSPA1A	P0DMV8	HS71A_HUMAN	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1)	promiscuous incorporation in EVs (and possibly exomeres)	Heat shock proteins	
